,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
9902,6465,West Mackay,pm25,6.5,"{'utc': '2019-10-14T13:00:00+00:00', 'local': '2019-10-14T23:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9903,6465,West Mackay,pm25,6.4,"{'utc': '2019-10-14T14:00:00+00:00', 'local': '2019-10-15T00:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9908,6465,West Mackay,pm25,6.4,"{'utc': '2019-10-14T15:00:00+00:00', 'local': '2019-10-15T01:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9909,6465,West Mackay,pm25,6.3,"{'utc': '2019-10-14T16:00:00+00:00', 'local': '2019-10-15T02:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9912,6465,West Mackay,pm25,6.2,"{'utc': '2019-10-14T17:00:00+00:00', 'local': '2019-10-15T03:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9915,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T18:00:00+00:00', 'local': '2019-10-15T04:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9918,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T19:00:00+00:00', 'local': '2019-10-15T05:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9922,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T20:00:00+00:00', 'local': '2019-10-15T06:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9924,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T21:00:00+00:00', 'local': '2019-10-15T07:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9929,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T22:00:00+00:00', 'local': '2019-10-15T08:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9930,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-14T23:00:00+00:00', 'local': '2019-10-15T09:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9935,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-15T00:00:00+00:00', 'local': '2019-10-15T10:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9936,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-15T01:00:00+00:00', 'local': '2019-10-15T11:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9939,6465,West Mackay,pm25,6.1,"{'utc': '2019-10-15T02:00:00+00:00', 'local': '2019-10-15T12:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9943,6465,West Mackay,pm25,6.2,"{'utc': '2019-10-15T03:00:00+00:00', 'local': '2019-10-15T13:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9945,6465,West Mackay,pm25,6.2,"{'utc': '2019-10-15T04:00:00+00:00', 'local': '2019-10-15T14:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9948,6465,West Mackay,pm25,6.2,"{'utc': '2019-10-15T05:00:00+00:00', 'local': '2019-10-15T15:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
9950,6465,West Mackay,pm25,6.2,"{'utc': '2019-10-15T06:00:00+00:00', 'local': '2019-10-15T16:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
